Région;Récolte;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
24 - Centre-Val de Loire;     BO - Feuillus;448,176;413,077;489,533;477,992;391,511;432,515;421,405;382,557;433,672;383,062;383,309;424,047;454,361;424,094;436,702;423,321;456,179;443,65;413,829;375,492
24 - Centre-Val de Loire;          BO - Chêne;338,411;305,315;361,49;362,33;289,182;314,447;285,455;281,668;342,541;291,882;296,049;313,255;317,382;296,794;292,581;294,492;296,967;297,345;276,143;273,846
24 - Centre-Val de Loire;                BO - Chêne à tranchage et merrain;80,988;46,182;59,233;55,037;53,096;60,945;49,98;49,648;62,25;48,354;53,088;56,464;65,798;58,771;55,749;47,107;49,453;54,605;52,784;45,603
24 - Centre-Val de Loire;                BO - Chêne à sciages;257,423;259,133;302,257;307,293;236,086;253,502;235,475;232,02;280,291;243,528;242,961;256,791;251,584;238,023;236,832;247,385;247,514;242,74;223,359;228,243
24 - Centre-Val de Loire;          BO - Hêtre;5,095;6,144;8,916;8,162;5,302;4,69;7,843;3,759;4,569;4,414;9,52;3,644;3,288;2,158;3,845;6,047;7,232;1,514;2,535;2,122
24 - Centre-Val de Loire;                BO - Hêtre à déroulage;1,267;0,958;3,273;0,708;0,741;0,887;1,227;1,454;0,602;0,156;0,122;0,172;0,008;0,08;0,167;0,385;0,64;0,168;0,136;0,058
24 - Centre-Val de Loire;                BO - Hêtre à sciages;3,828;5,186;5,643;7,454;4,561;3,803;6,616;2,305;3,967;4,258;9,398;3,472;3,28;2,078;3,678;5,662;6,592;1,346;2,399;2,064
24 - Centre-Val de Loire;          BO - Châtaignier;5,289;6,538;12,492;6,469;2,972;4,941;3,309;2,888;6,437;2,18;1,56;4,489;2,729;1,167;4,33;4,352;5,859;15,106;10,583;8,432
24 - Centre-Val de Loire;          BO - Feuillus précieux;1,658;0,976;0,821;0,81;1,125;1,079;1,222;0,5;6,514;0,442;0,372;0,927;0,717;3,352;0,485;0,901;2,546;1,112;1,258;1,035
24 - Centre-Val de Loire;          BO - Peuplier;91,232;90,211;96,017;96,352;89,985;102,278;109,88;84,54;67,124;78,397;69,75;97,131;121,718;118,357;131,548;115,647;141,559;127,492;122,548;89,555
24 - Centre-Val de Loire;               BO - Peuplier à déroulage;61,403;51,156;62,833;62,395;60,155;74,708;81,192;56,616;41,144;49,342;48,568;73,862;96,065;89,816;100,846;92,796;117,203;100,517;93,103;72,659
24 - Centre-Val de Loire;               BO - Peuplier à sciages;29,829;39,055;33,184;33,957;29,83;27,57;28,688;27,924;25,98;29,055;21,182;23,269;25,653;28,541;30,702;22,851;24,356;26,975;29,445;16,896
24 - Centre-Val de Loire;          BO - Autres feuillus;6,491;3,893;9,797;3,869;2,945;5,08;13,696;9,202;6,487;5,747;6,058;4,601;8,527;2,266;3,913;1,882;2,016;1,081;0,762;0,502
24 - Centre-Val de Loire;     BO - Conifères;243,565;268,405;312,899;270,258;219,483;307,626;351,475;349,666;264,898;287,933;292,336;298,246;263,971;318,526;282,055;307,012;302,491;341,983;299,308;259,83
24 - Centre-Val de Loire;          BO - Sapin-épicéa (jusqu'en 2018);6,595;14,978;13,616;12,852;5,599;36,541;16,172;23,539;3,864;16,542;2,983;8,213;4,066;8,095;0;0;0;0;0;0
24 - Centre-Val de Loire;          BO - Sapin (depuis 2019);0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,401;6,062;2,827;3,207;1,421;5,354
24 - Centre-Val de Loire;          BO - Epicéa (depuis 2019);0;0;0;0;0;0;0;0;0;0;0;0;0;0;7,947;12,409;7,869;6,623;5,048;4,911
24 - Centre-Val de Loire;          BO - Douglas;35,335;37,019;33,928;31,396;34,624;37,572;50,142;70,676;62,568;47,383;51,741;58,168;53,821;69,01;63,921;87,235;53,606;55,3;49,167;41,333
24 - Centre-Val de Loire;          BO - Mélèze;0,066;0,066;0,148;0,176;0,072;0,037;0,22;0,347;0,062;0,01;0,506;0,08;0;0,314;0,071;0,159;0;0;0;0
24 - Centre-Val de Loire;          BO - Pin maritime;59,957;54,484;89,158;78,033;55,084;55,524;100,33;76,422;53,989;85,415;97,181;96,907;81,394;113,009;88,208;89,058;115,661;113,624;102,609;90,691
24 - Centre-Val de Loire;               BO - Pin maritime à placages;2,102;2,076;0;5,049;0,382;0,311;0,594;5,975;2,212;3,952;1,973;9,061;8,153;11,365;12,255;14,946;15,418;8,75;11,687;1,28
24 - Centre-Val de Loire;               BO - Pin maritime à sciages;57,855;52,408;89,158;72,984;54,702;55,213;99,736;70,447;51,777;81,463;95,208;87,846;73,241;101,644;75,953;74,112;100,243;104,874;90,922;89,411
24 - Centre-Val de Loire;          BO - Pin sylvestre;119,851;132,344;145,618;113,851;93,361;142,882;139,555;118,77;89,182;90,92;96,329;90,302;83,502;83,339;81,512;68,517;78,162;119,802;99,633;71,966
24 - Centre-Val de Loire;          BO - Autres conifères;21,761;29,514;30,431;33,95;30,743;35,07;45,056;59,912;55,233;47,663;43,596;44,576;41,188;44,759;35,995;43,572;44,366;43,427;41,43;45,575
24 - Centre-Val de Loire;BI - Bois d'industrie;574,758;633,643;706,352;596,655;467,792;721,744;927,949;1132,524;635,563;624,978;677,585;679,474;678,209;630,448;684,635;651,083;692,081;658,151;677,113;573,901
24 - Centre-Val de Loire;   BI - Bois de trituration;536,35;588,691;681,209;573,938;431,097;688,776;863,612;1061,91;559,705;529,549;629,013;639,217;612,495;605,839;635,23;626,151;652,974;623,116;611,402;521,862
