Région;Récolte;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
44 - Grand Est;          BO - Pin maritime;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
44 - Grand Est;               BO - Pin maritime à placages;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
44 - Grand Est;               BO - Pin maritime à sciages;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
44 - Grand Est;          BO - Pin sylvestre;190,78;213,317;185,161;162,464;126,253;151,473;137,267;117,202;108,173;111,815;98,853;94,114;95,52;86,906;74,403;65,493;83,919;84,39;80,311;88,412
44 - Grand Est;          BO - Autres conifères;59,713;47,681;40,382;79,491;87,275;121,592;70,254;71,178;59,85;61,214;63,67;76,449;18,965;21,467;16,435;20,16;16,423;29,948;7,451;16,037
44 - Grand Est;BI - Bois d'industrie;2537,966;2371,842;2216,588;2071,521;1883,919;2110,639;2198,085;2296,734;2293,643;2434,815;2414,637;2335,953;2206,045;2240,243;2147,426;2086,494;2166,765;2093,798;1744,638;1513,051
44 - Grand Est;   BI - Bois de trituration;2472,958;2314,326;2189,598;2041,318;1865,255;2084,552;2164,707;2271,029;2207,484;2365,935;2372,669;2301,466;2127,295;2023,245;2016,946;2053,616;2129,362;2062,317;1720,625;1498,633
44 - Grand Est;     BT - dont bois de trituration certifié*;798,355;1007,205;1049,19;1055,02;1101,166;1211,006;1287,602;1332,454;1282,428;1450,945;1498,079;1430,593;1339,725;1301,832;1319,253;1402,128;1439,738;1305,095;1063,299;940,928
44 - Grand Est;     BT - Feuillus;1596,833;1564,973;1585,561;1492,693;1370,045;1542,812;1553,602;1670,753;1621,219;1795,205;1894,537;1769,991;1573,337;1487,111;1348,863;1263,779;1350,606;1458,151;1305,702;1081,985
44 - Grand Est;     BT - Conifères;876,125;749,353;604,037;548,625;495,21;541,74;611,105;600,276;586,265;570,73;478,132;531,475;553,958;536,134;668,083;789,837;778,756;604,166;414,923;416,648
44 - Grand Est;          BT - Conifères blancs : sapin, épicéa;532,143;500,216;427,677;392,171;358,279;339,289;377,915;386,715;377,239;347,039;323,372;365,544;404,599;416,04;572,097;705,998;661,316;482,666;342,61;337,616
44 - Grand Est;          BT - Pins maritimes;0,486;1,14;1,947;0,198;1,642;4,56;9,577;12,187;4,248;22,178;1,235;0,513;5,871;0,57;0,046;0,188;4,106;2,644;1,339;0,323
44 - Grand Est;          BT - Autres conifères rouges;343,496;247,997;174,413;156,256;135,289;197,891;223,613;201,374;204,778;201,513;153,525;165,418;143,488;119,524;95,94;83,651;113,334;118,856;70,974;78,709
44 - Grand Est;   BI - Autres bois d'industrie;65,008;57,516;26,99;30,203;18,664;26,087;33,378;25,705;86,159;68,88;41,968;34,487;78,75;216,998;130,48;32,878;37,403;31,481;24,013;14,418
44 - Grand Est;     ABI - dont bois d'industrie certifié*;15,42;18,075;11,399;14,595;8,648;16,48;13,21;9,242;24,079;18,491;12,219;6,159;50,548;48,298;39,064;17,13;16,07;8,931;5,646;3,435
44 - Grand Est;     ABI - Feuillus;9,489;21,268;10,298;7,688;10,167;7,699;10,619;8,718;53,231;25,018;9,635;7,461;48,555;175,599;106,855;18,061;12,521;12,679;5,262;2,494
44 - Grand Est;     ABI - Conifères (dont poteaux);55,519;36,248;16,692;22,515;8,497;18,388;22,759;16,987;32,928;43,862;32,333;27,026;30,195;41,399;23,625;14,817;24,882;18,802;18,751;11,924
44 - Grand Est;BE - Bois énergie;736,922;689,321;643,63;680,681;810,773;1059,439;1411,794;1340,209;1655,722;1651,978;1664,958;1786,053;2162,539;2237,732;2137,299;1878,922;2078,941;2115,155;2194,302;2257,722
44 - Grand Est;     BE - dont bois énergie certifié*;123,653;345,184;374,386;382,628;451,299;663,779;706,799;674,915;816,302;795,569;965,52;1066,583;1529,685;1528,131;1463,608;1230,197;1408,819;1454,321;1429,105;1351,608
44 - Grand Est;     BE - Bois de chauffage commercialisé (bois bûche) (jusqu'en 2010);446,86;384,468;394,929;375,697;479,704;578,41;0;0;0;0;0;0;0;0;0;0;0;0;0;0
44 - Grand Est;     BE - Bois de chauffage cédé gratuitement (jusqu'en 2010);214,756;192,758;169,829;209,317;142,867;218,388;0;0;0;0;0;0;0;0;0;0;0;0;0;0
44 - Grand Est;     BE - Bois ronds > 2 m (dont carbonisation) (depuis 2011);1,19;0,96;3,955;3,082;5,837;0,338;244,636;265,236;161,169;143,992;116,616;185,131;416,935;355,12;323,494;299,4;244,389;278,12;302,007;231,244
44 - Grand Est;     BE - Bois en rondins et bûches < 2 m (depuis 2011);0;0;0;0;0;0;839,29;769,785;999,173;986,91;993,394;986,362;1296,759;1335,397;1252,097;967,508;1265,864;1287,218;1229,581;1313,02
44 - Grand Est;     BE - Plaquettes forestières;74,116;111,135;74,917;92,585;182,365;262,303;327,868;305,188;495,38;521,076;554,948;614,56;448,845;547,215;561,708;612,014;568,688;549,817;662,714;713,458
52 - Pays de la Loire;RBC - Récolte de bois commercialisé;729,555;743,07;864,64;796,409;593,083;640,588;795,268;812,077;926,105;1019,266;1032,322;991,203;976,188;1075,591;1047,077;1005,109;1162,612;1317,854;1266,489;1160,389
52 - Pays de la Loire;     RBC - dont bois certifié*;188,65;182,535;222,76;241,991;208,304;215,557;353,05;355,779;359,782;415,93;401,252;408,559;400,841;467,682;409,422;440,038;476,981;459,821;459,702;478,025
52 - Pays de la Loire;BO - Bois d’œuvre;482,295;490,9;575,498;539,657;394,107;436,26;550,285;511,92;539,053;550,758;525,223;513,016;533,257;589,958;572,413;598,45;642,311;705,036;550,789;515,7
52 - Pays de la Loire;     BO - dont grumes certifiées*;111,17;105,46;138,726;169,312;140,804;139,853;235,06;231,351;205,405;222,935;224,266;227,954;235,677;252,079;226,484;238,627;273,93;286,924;231,847;248,084
52 - Pays de la Loire;     BO - Feuillus;295,31;294,836;302,283;301,058;256,3;239,639;267,284;248,506;242,378;250,961;235,574;239,546;262,464;263,393;287,743;281,375;318,453;301,32;263,919;240,547
52 - Pays de la Loire;          BO - Chêne;107,495;93,48;93,978;94,953;85,617;76,07;89,777;78,587;84,834;88,921;87,757;91,411;93,198;95,634;91,073;85,921;84,428;79,249;79,394;78,565
52 - Pays de la Loire;                BO - Chêne à tranchage et merrain;10,361;7,675;8,85;9,292;8,928;10,02;13,826;12,429;13,016;13,454;10,448;17,417;13,862;14,423;11,424;15,397;12,326;15,168;18,808;19,72
52 - Pays de la Loire;                BO - Chêne à sciages;97,134;85,805;85,128;85,661;76,689;66,05;75,951;66,158;71,818;75,467;77,309;73,994;79,336;81,211;79,649;70,524;72,102;64,081;60,586;58,845
52 - Pays de la Loire;          BO - Hêtre;13,459;16,526;19,869;18,283;14,583;11,968;12,905;8,862;11,125;8,494;7,216;4,55;4,754;3,383;4,795;5,378;7,377;3,7;4,544;3,973
52 - Pays de la Loire;                BO - Hêtre à déroulage;1,496;1,25;0,642;0,716;0,637;0,883;2,409;0,027;0,072;0,11;0,546;0;0,06;0,038;0;0,004;1,775;0,101;0,073;0,049
52 - Pays de la Loire;                BO - Hêtre à sciages;11,963;15,276;19,227;17,567;13,946;11,085;10,496;8,835;11,053;8,384;6,67;4,55;4,694;3,345;4,795;5,374;5,602;3,599;4,471;3,924
52 - Pays de la Loire;          BO - Châtaignier;14,008;14,432;12,224;10,656;4,736;6,128;5,595;4,577;3,642;5,279;3,719;4,638;6,395;7,863;10,277;8,181;9,027;10,598;8,362;7,946
52 - Pays de la Loire;          BO - Feuillus précieux;1,573;1,666;1,458;1,408;5,708;0,733;0,916;1,081;0,503;0,392;0,546;0,314;0,618;0,538;1,506;1,064;0,86;1,387;0,891;0,517
52 - Pays de la Loire;          BO - Peuplier;155,825;165,595;171,89;173,476;142,067;142,496;155,249;154,352;141,394;146,691;135,412;137,93;156,709;155,416;179,254;180,56;216,7;205,885;168,263;148,56
52 - Pays de la Loire;               BO - Peuplier à déroulage;103,415;108,127;112,818;120,834;107,855;115,067;121,443;107,726;113,387;113,069;98,633;102,246;119,29;119,005;145,392;144,814;176,76;167,767;135,946;126,016
52 - Pays de la Loire;               BO - Peuplier à sciages;52,41;57,468;59,072;52,642;34,212;27,429;33,806;46,626;28,007;33,622;36,779;35,684;37,419;36,411;33,862;35,746;39,94;38,118;32,317;22,544
52 - Pays de la Loire;          BO - Autres feuillus;2,95;3,137;2,864;2,282;3,589;2,244;2,842;1,047;0,88;1,184;0,924;0,703;0,79;0,559;0,838;0,271;0,061;0,501;2,465;0,986
52 - Pays de la Loire;     BO - Conifères;186,985;196,064;273,215;238,599;137,807;196,621;283,001;263,414;296,675;299,797;289,649;273,47;270,793;326,565;284,67;317,075;323,858;403,716;286,87;275,153
52 - Pays de la Loire;          BO - Sapin-épicéa (jusqu'en 2018);15,48;11,615;6,56;7,215;8,169;23,311;32,976;19,458;15,613;10,831;17,903;12,556;18,437;25,285;0;0;0;0;0;0
52 - Pays de la Loire;          BO - Sapin (depuis 2019);0;0;0;0;0;0;0;0;0;0;0;0;0;0;23,852;4,476;7,143;32,445;27,002;2,477
52 - Pays de la Loire;          BO - Epicéa (depuis 2019);0;0;0;0;0;0;0;0;0;0;0;0;0;0;15,422;46,984;8,115;32,112;10,208;3,829
52 - Pays de la Loire;          BO - Douglas;17,478;16,681;36,118;37,959;27,469;33,753;44,665;49,858;34,274;44,399;30,492;43,284;35,855;39,15;50,536;42,127;42,399;50,203;50,468;41,837
52 - Pays de la Loire;          BO - Mélèze;3,67;0,17;0,05;0;1,136;0,024;0,018;0,03;0,003;0,002;0,021;0;0;0,026;0,005;0,041;0,52;0,161;0;0,015
52 - Pays de la Loire;          BO - Pin maritime;123,432;130,97;169,518;140,601;73,891;109,725;164,317;144,053;198,822;194,935;198,912;172,623;163,815;219,466;166,573;190,167;217,904;236,386;169,79;181,912
52 - Pays de la Loire;               BO - Pin maritime à placages;5,252;2,074;0;0;0;6,15;0,07;2,96;0,04;0,447;0;0,019;0,3;1,526;1,088;3,004;8,602;3,202;6,531;0,359
52 - Pays de la Loire;               BO - Pin maritime à sciages;118,18;128,896;169,518;140,601;73,891;103,575;164,247;141,093;198,782;194,488;198,912;172,604;163,515;217,94;165,485;187,163;209,302;233,184;163,259;181,553
52 - Pays de la Loire;          BO - Pin sylvestre;15,289;16,525;20,603;24,314;9,923;17,435;22,484;17,14;19,613;18,321;20,03;24,006;15,223;18,19;11,92;11,618;12,905;21,551;8,829;8,382
52 - Pays de la Loire;          BO - Autres conifères;11,636;20,103;40,366;28,51;17,219;12,373;18,541;32,875;28,35;31,309;22,291;21,001;37,463;24,448;16,362;21,662;34,872;30,858;20,573;36,701
52 - Pays de la Loire;BI - Bois d'industrie;211,262;197,662;235,596;203,403;133,445;125,61;132,957;174,83;168,637;191,161;183,442;204,134;177,422;191,024;181,538;136,246;170,168;136,346;214,325;213,901
52 - Pays de la Loire;   BI - Bois de trituration;192,635;174,225;222,495;192,265;123,411;117,105;118,838;161,109;157,207;178,301;172,131;185,47;155,442;174,48;145,651;118,994;141,153;113,201;178,58;167,12
52 - Pays de la Loire;     BT - dont bois de trituration certifié*;62,621;54,103;65,033;57,527;50,421;42,528;55,412;78,063;71,132;97,183;81,831;77,366;60,635;69,446;59,006;55,875;60,056;51,221;80,31;82,462
52 - Pays de la Loire;     BT - Feuillus;57,007;40,633;37,816;48,553;26,483;21,136;16,302;10,788;15,45;17,256;13,869;17,714;25,469;33,461;36,458;32,078;35,09;25,737;39,506;32,122
52 - Pays de la Loire;     BT - Conifères;135,628;133,592;184,679;143,712;96,928;95,969;102,536;150,321;141,757;161,045;158,262;167,756;129,973;141,019;109,193;86,916;106,063;87,464;139,074;134,998
52 - Pays de la Loire;          BT - Conifères blancs : sapin, épicéa;7,019;9,541;14,759;9,05;4,258;2,38;10,001;22,141;11,384;12,743;12,359;22,91;14,996;33,745;28,884;24,224;21,153;11,959;43,037;39,313
52 - Pays de la Loire;          BT - Pins maritimes;80,397;81,765;110,642;88,741;52,504;44,457;65,616;67,365;82,385;85,44;98,21;118,986;86,863;85,53;59,656;45,909;73,604;57,085;75,291;71,507
52 - Pays de la Loire;          BT - Autres conifères rouges;48,212;42,286;59,278;45,921;40,166;49,132;26,919;60,815;47,988;62,862;47,693;25,86;28,114;21,744;20,653;16,783;11,306;18,42;20,746;24,178
52 - Pays de la Loire;   BI - Autres bois d'industrie;18,627;23,437;13,101;11,138;10,034;8,505;14,119;13,721;11,43;12,86;11,311;18,664;21,98;16,544;35,887;17,252;29,015;23,145;35,745;46,781
52 - Pays de la Loire;     ABI - dont bois d'industrie certifié*;3,139;7,888;2,899;1,428;3,112;2,222;7,951;5,927;4,045;8,868;6,695;8,829;9,616;10,464;10,676;9,17;8,864;4,958;7,78;16,257
52 - Pays de la Loire;     ABI - Feuillus;7,172;9,411;9,835;7,038;7,93;6,65;2,291;4,836;5,909;2,375;3,758;3,888;4,912;7,843;7,985;9,529;9,317;10,189;11,878;24,505
52 - Pays de la Loire;     ABI - Conifères (dont poteaux);11,455;14,026;3,266;4,1;2,104;1,855;11,828;8,885;5,521;10,485;7,553;14,776;17,068;8,701;27,902;7,723;19,698;12,956;23,867;22,276
52 - Pays de la Loire;BE - Bois énergie;35,998;54,508;53,546;53,349;65,531;78,718;112,026;125,327;218,415;277,347;323,657;274,053;265,509;294,609;293,126;270,413;350,133;476,472;501,375;430,788
52 - Pays de la Loire;     BE - dont bois énergie certifié*;11,72;15,084;16,102;13,724;13,967;30,954;54,627;40,438;79,2;86,944;88,46;94,41;94,913;135,693;113,256;136,366;134,131;116,718;139,765;131,222
52 - Pays de la Loire;     BE - Bois de chauffage commercialisé (bois bûche) (jusqu'en 2010);34,863;51,974;52,372;45,643;61,477;69,312;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52 - Pays de la Loire;     BE - Bois de chauffage cédé gratuitement (jusqu'en 2010);0,836;0,756;0,602;0,916;0,655;1,35;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52 - Pays de la Loire;     BE - Bois ronds > 2 m (dont carbonisation) (depuis 2011);0;0;0;0;0;0;22,491;38,175;45,776;31,071;33,935;31,968;42,015;47,878;45,233;42,073;36,821;52,996;46,015;25,054
52 - Pays de la Loire;     BE - Bois en rondins et bûches < 2 m (depuis 2011);0;0;0;0;0;0;80,358;79,476;99,44;121,349;122,705;92,119;97,391;83,972;84,33;68,737;86,701;155,17;129,572;102,832
52 - Pays de la Loire;     BE - Plaquettes forestières;0,299;1,778;0,572;6,79;3,399;8,056;9,177;7,676;73,199;124,927;167,017;149,966;126,103;162,759;163,563;159,603;226,611;268,306;325,788;302,902
53 - Bretagne;RBC - Récolte de bois commercialisé;553,374;574,705;617,876;633,399;502,07;564,825;680,795;700,141;851,251;906,561;1152,843;1169,302;1156,83;1017,044;905,971;839,915;870,232;1011,936;1100,951;1176,548
53 - Bretagne;     RBC - dont bois certifié*;120,859;129,002;142,23;129,266;132,43;117,322;187,283;187,963;177,167;272,479;209,514;289,123;238,718;247,539;162,561;225,595;204,823;226,955;253,058;249,413
53 - Bretagne;BO - Bois d’œuvre;407,72;416,559;434,036;448,268;336,135;378,077;452,516;483,376;609,104;636,37;693,771;742,28;712,504;666,232;543,304;503,789;489,533;559,025;564,158;635,818
53 - Bretagne;     BO - dont grumes certifiées*;77,844;85,22;96,874;86,647;76,907;80,244;123,477;120,597;124,361;199,079;125,152;123,555;155,427;159,565;90,73;121,432;109,509;126,096;128,313;139,896
53 - Bretagne;     BO - Feuillus;73,102;80,459;74,45;74,054;65,09;58,012;65,019;55,293;64,318;66,708;100,557;133,612;103,107;100,106;100,363;94,767;94,394;127,958;129,56;104,851
53 - Bretagne;          BO - Chêne;21,321;23,858;25,155;24,325;16,545;13,424;15,861;19,486;14,839;11,332;19,927;17,207;17,339;16,045;13,333;13,392;17,095;15,887;13,194;12,188
53 - Bretagne;                BO - Chêne à tranchage et merrain;0,569;0,46;0,85;1,489;0,759;0,605;1,444;1,42;1,312;0,525;1,865;0,68;1,003;0,924;0,439;2,061;1,78;2,602;1,984;0,848
53 - Bretagne;                BO - Chêne à sciages;20,752;23,398;24,305;22,836;15,786;12,819;14,417;18,066;13,527;10,807;18,062;16,527;16,336;15,121;12,894;11,331;15,315;13,285;11,21;11,34
53 - Bretagne;          BO - Hêtre;4,873;8,073;6,794;6,207;5,229;7,774;5,588;3,058;7,219;6,073;11,429;8,134;16,022;9,454;9,384;6,557;7,711;7,473;4,976;3,233
53 - Bretagne;                BO - Hêtre à déroulage;0,15;0,114;0,202;0,3;0,4;0,314;0,03;0,086;0;0;0;3,06;3,015;2,623;2,262;0,02;0,35;0,011;0,195;0,182
53 - Bretagne;                BO - Hêtre à sciages;4,723;7,959;6,592;5,907;4,829;7,46;5,558;2,972;7,219;6,073;11,429;5,074;13,007;6,831;7,122;6,537;7,361;7,462;4,781;3,051
53 - Bretagne;          BO - Châtaignier;14,167;16,483;13,171;11,85;9,536;8,738;5,901;4,409;2,799;4,722;4,903;4,567;4,97;8,835;8,487;11,46;12,904;13,266;12,383;10,306
53 - Bretagne;          BO - Feuillus précieux;0,668;0,463;0,283;0,21;1,857;0,027;0,277;0,024;0,08;0,061;0,213;0,012;0,047;0,05;0,033;1,611;1,476;1,451;1,467;0,2
53 - Bretagne;          BO - Peuplier;31,417;30,546;28,821;30,951;31,661;27,862;37,172;28,211;37,124;43,017;63,582;62,357;63,807;64,798;68,302;61,474;54,841;89,582;97,395;78,769
53 - Bretagne;               BO - Peuplier à déroulage;25,244;25,877;23,963;25,832;26,05;22,363;29,252;23,748;28,838;35,044;48,406;43,692;49,179;48,019;50,785;43,499;36,589;58,568;66,431;56,608
53 - Bretagne;               BO - Peuplier à sciages;6,173;4,669;4,858;5,119;5,611;5,499;7,92;4,463;8,286;7,973;15,176;18,665;14,628;16,779;17,517;17,975;18,252;31,014;30,964;22,161
53 - Bretagne;          BO - Autres feuillus;0,656;1,036;0,226;0,511;0,262;0,187;0,22;0,105;2,257;1,503;0,503;41,335;0,922;0,924;0,824;0,273;0,367;0,299;0,145;0,155
53 - Bretagne;     BO - Conifères;334,618;336,1;359,586;374,214;271,045;320,065;387,497;428,083;544,786;569,662;593,214;608,668;609,397;566,126;442,941;409,022;395,139;431,067;434,598;530,967
53 - Bretagne;          BO - Sapin-épicéa (jusqu'en 2018);146,963;145,744;152,453;205,258;155,925;183,978;235,514;299,205;375,691;402,879;446,758;451,23;395,45;352,156;0;0;0;0;0;0
53 - Bretagne;          BO - Sapin (depuis 2019);0;0;0;0;0;0;0;0;0;0;0;0;0;0;103,889;21,002;15,054;21,383;16,639;31,245
53 - Bretagne;          BO - Epicéa (depuis 2019);0;0;0;0;0;0;0;0;0;0;0;0;0;0;137,729;161,996;154,698;163,868;177,027;221,75
53 - Bretagne;          BO - Douglas;21,807;28,306;41,468;36,561;27,484;23,902;34,323;30,548;38,57;35,973;35,9;32,896;41,331;41,123;40,652;47,873;62,786;65,022;62,733;77,856
53 - Bretagne;          BO - Mélèze;9,5;0,819;1,571;2,572;2,548;0,975;0,896;1,602;1,472;0,759;1,602;10,622;10,104;9,062;9,656;3,893;6,46;5,075;5,942;2,873
53 - Bretagne;          BO - Pin maritime;115,118;121,266;134,839;79,391;53,983;86,232;89,255;73,973;97,709;89,054;78,611;88,729;95,972;107,403;105,169;96,392;111,593;127,779;126,179;143,782
53 - Bretagne;               BO - Pin maritime à placages;13,551;0;0;0;1,115;7,181;0,099;0,359;0,171;0,36;1,262;7,25;9,353;8,829;8,349;0,697;1,299;0,035;0;0,109
53 - Bretagne;               BO - Pin maritime à sciages;101,567;121,266;134,839;79,391;52,868;79,051;89,156;73,614;97,538;88,694;77,349;81,479;86,619;98,574;96,82;95,695;110,294;127,744;126,179;143,673
53 - Bretagne;          BO - Pin sylvestre;24,612;24,344;16,151;36,086;15,868;18,182;10,284;8,49;10,845;14,336;15,875;15,733;19,037;7,113;8,959;52,736;15,544;16,041;18,4;9,794
53 - Bretagne;          BO - Autres conifères;16,618;15,621;13,104;14,346;15,237;6,796;17,225;14,265;20,499;26,661;14,468;9,458;47,503;49,269;36,887;25,13;29,004;31,899;27,678;43,667
53 - Bretagne;BI - Bois d'industrie;92,852;89,377;109,968;108,43;86,061;101,52;113,283;107,308;119,005;116,082;192,957;147,545;171,898;133,901;119,276;84,452;105,281;130,537;147,135;180,352
53 - Bretagne;   BI - Bois de trituration;90,871;79,138;96,691;96,521;85,435;89,583;96,629;87,853;100,444;87,309;168,902;141,598;157,776;130,609;116,261;84,388;102,895;116,078;135,974;141,312
53 - Bretagne;     BT - dont bois de trituration certifié*;28,577;16,513;24,544;22,331;45,236;20,178;26,347;29,246;22,416;40,523;43,094;24,492;29,006;22,842;15,196;22,233;30,27;30,158;41,46;37,306
53 - Bretagne;     BT - Feuillus;11,821;5,86;14,904;4,334;2,1;1,533;2,846;2,795;3,312;4,461;15,167;27,947;19,949;20,711;20,933;6,433;6,456;7,59;8,412;9,277
53 - Bretagne;     BT - Conifères;79,05;73,278;81,787;92,187;83,335;88,05;93,783;85,058;97,132;82,848;153,735;113,651;137,827;109,898;95,328;77,955;96,439;108,488;127,562;132,035
53 - Bretagne;          BT - Conifères blancs : sapin, épicéa;27,842;19,621;13,773;24,543;44,592;37,397;53,919;54,025;55,374;44,946;113,945;53,402;42,434;45,072;44,02;38,264;43,509;41,901;54,077;53,507
53 - Bretagne;          BT - Pins maritimes;28,362;40,138;46,296;43,217;19,032;33,765;32,712;20,862;26,205;15,995;19,092;50,639;85,685;38,742;38,82;29,83;45,445;50,095;61,013;59,278
53 - Bretagne;          BT - Autres conifères rouges;22,846;13,519;21,718;24,427;19,711;16,888;7,152;10,171;15,553;21,907;20,698;9,61;9,708;26,084;12,488;9,861;7,485;16,492;12,472;19,25
53 - Bretagne;   BI - Autres bois d'industrie;1,981;10,239;13,277;11,909;0,626;11,937;16,654;19,455;18,561;28,773;24,055;5,947;14,122;3,292;3,015;0,064;2,386;14,459;11,161;39,04
53 - Bretagne;     ABI - dont bois d'industrie certifié*;1,07;1,698;5,115;4,125;0,156;3,66;8,076;4,83;4,798;5,087;0,79;1,772;5,282;0,144;0;0;0;0;0,472;6,183
53 - Bretagne;     ABI - Feuillus;0,982;0,596;0,5;0,333;0,251;0,911;0;0,634;0;0;1,2;1,625;1,609;1,595;1,595;0,064;0,302;0,462;0,216;26,369
53 - Bretagne;     ABI - Conifères (dont poteaux);0,999;9,643;12,777;11,576;0,375;11,026;16,654;18,821;18,561;28,773;22,855;4,322;12,513;1,697;1,42;0;2,084;13,997;10,945;12,671
53 - Bretagne;BE - Bois énergie;52,802;68,769;73,872;76,701;79,874;85,228;114,996;109,457;123,142;154,109;266,115;279,477;272,428;216,911;243,391;251,674;275,418;322,374;389,658;360,378
53 - Bretagne;     BE - dont bois énergie certifié*;13,368;25,571;15,697;16,163;10,131;13,24;29,383;33,29;25,592;27,79;40,478;139,304;49,003;64,988;56,635;81,93;65,044;70,701;82,813;66,028
53 - Bretagne;     BE - Bois de chauffage commercialisé (bois bûche) (jusqu'en 2010);50,021;67,037;71,052;72,404;70,373;68,502;0;0;0;0;0;0;0;0;0;0;0;0;0;0
53 - Bretagne;     BE - Bois de chauffage cédé gratuitement (jusqu'en 2010);0,742;0,598;1,291;0,732;0,621;0,39;0;0;0;0;0;0;0;0;0;0;0;0;0;0
53 - Bretagne;     BE - Bois ronds > 2 m (dont carbonisation) (depuis 2011);0;0;0;0;0;0;25,455;28,602;22,598;41,729;90,396;42,721;159,743;102,256;110,623;89,652;71,62;76,493;63,187;44,52
53 - Bretagne;     BE - Bois en rondins et bûches < 2 m (depuis 2011);0;0;0;0;0;0;67,561;61,834;58,631;45,21;50,152;45,455;36,512;29,883;37,387;55,028;55,162;73,771;81,639;66,794
53 - Bretagne;     BE - Plaquettes forestières;2,039;1,134;1,529;3,565;8,88;16,336;21,98;19,021;41,913;67,17;125,567;191,301;76,173;84,772;95,381;106,994;148,636;172,11;244,832;249,064
75 - Nouvelle-Aquitaine;RBC - Récolte de bois commercialisé;11305,716;11275,695;11875,862;11228,04;17007,769;16046,186;13111,755;9805,547;9709,532;10120,415;9972,235;10071,061;10238,367;10178,459;10133,532;9057,53;9726,1;10203,744;9975,121;9916,035
75 - Nouvelle-Aquitaine;     RBC - dont bois certifié*;4329,463;5599,894;6378,242;6633,346;13554,572;12225,905;9672,776;7078,245;7019,832;7317,834;6380,413;7168,965;7357,993;6967,954;6775,414;5976,217;6315,199;6943,625;6398,67;6463,401
75 - Nouvelle-Aquitaine;BO - Bois d’œuvre;6424,341;6500,575;7060,993;6398,034;9750,08;7385,434;6351,85;4774,714;4847,002;4989,363;4991,791;5120,313;5193,165;5194,256;4844,888;4081,147;4658,222;4768,297;4248,332;4188,51
75 - Nouvelle-Aquitaine;     BO - dont grumes certifiées*;2458,35;3245,521;3998,412;3893,342;8073,899;5736,05;4668,691;3493,939;3653,292;3753,801;3322,223;3922,031;3971,111;3589,449;3337,067;2662,473;2972,089;3200,018;2716,691;2634,385
75 - Nouvelle-Aquitaine;     BO - Feuillus;727,259;733,503;812,809;741,214;634,297;615,894;616,292;576,014;594,12;695,75;653,456;719,086;784,471;873,186;817,348;718,152;756,669;753,223;595,335;578,98
75 - Nouvelle-Aquitaine;          BO - Chêne;265,406;266,137;290,223;305,642;236,42;222,548;217,933;206,768;193,169;219,751;253,993;249,872;270,088;290,073;294,879;261,651;290,679;300,621;278,359;240,983
75 - Nouvelle-Aquitaine;                BO - Chêne à tranchage et merrain;18,506;21,95;24,155;39,611;22,462;21,144;26,188;22,379;18,13;20,541;23,007;24,455;23,725;27,696;27,927;26,216;29,636;32,326;27,829;26,146
75 - Nouvelle-Aquitaine;                BO - Chêne à sciages;246,9;244,187;266,068;266,031;213,958;201,404;191,745;184,389;175,039;199,21;230,986;225,417;246,363;262,377;266,952;235,435;261,043;268,295;250,53;214,837
75 - Nouvelle-Aquitaine;          BO - Hêtre;45,049;43,12;35,261;45,244;34,758;38,082;34,603;27,084;31,104;29,509;31,241;28,371;27,338;27,231;28,995;20,497;18,793;14,492;14,22;12,878
75 - Nouvelle-Aquitaine;                BO - Hêtre à déroulage;3,116;3,104;2,101;2,959;1,313;0,971;5,938;6,544;1,021;0,542;1,289;1,11;0,023;0,762;2,571;0,981;1,364;0,805;0,665;1,041
75 - Nouvelle-Aquitaine;                BO - Hêtre à sciages;41,933;40,016;33,16;42,285;33,445;37,111;28,665;20,54;30,083;28,967;29,952;27,261;27,315;26,469;26,424;19,516;17,429;13,687;13,555;11,837
75 - Nouvelle-Aquitaine;          BO - Châtaignier;127,326;118,195;101,766;68,672;53,764;68,893;50,206;38,528;41,745;38,401;24,92;29,095;25,941;31,793;39,888;31,59;33,57;47,034;43,237;48,228
75 - Nouvelle-Aquitaine;          BO - Feuillus précieux;10,812;10,041;9,539;11,242;5,156;6,266;3,291;1,589;1,212;1,643;4,593;2,578;1,506;2,784;2,351;1,006;0,948;1,173;2,696;2,26
75 - Nouvelle-Aquitaine;          BO - Peuplier;259,742;284,028;362,702;300,217;292,113;266,073;290,975;281,467;304,856;386,637;318,129;391,302;429,834;512,952;444,955;396,887;407,388;385,23;249,558;268,972
75 - Nouvelle-Aquitaine;               BO - Peuplier à déroulage;186,563;207,878;267,873;216,069;227,171;196,108;205,184;196,661;226,153;302,112;237,858;316,588;342,308;426,658;365,646;344,908;351,234;308,059;185,903;223,542
75 - Nouvelle-Aquitaine;               BO - Peuplier à sciages;73,179;76,15;94,829;84,148;64,942;69,965;85,791;84,806;78,703;84,525;80,271;74,714;87,526;86,294;79,309;51,979;56,154;77,171;63,655;45,43
